student_id,live_classes_attended,recorded_views,total_classes
1,24,54,60
2,19,59,60
3,25,40,50
4,14,17,40
5,27,15,40
6,9,48,50
7,19,11,60
8,26,22,40
9,26,15,50
10,15,5,60
11,22,33,40
12,12,34,50
13,23,21,60
14,33,6,40
15,18,25,50
16,21,8,60
17,34,25,40
18,24,14,40
19,33,5,60
20,15,30,50
21,23,51,60
22,30,22,60
23,17,16,60
24,19,23,50
25,9,60,60
26,26,12,50
27,15,31,40
28,16,16,60
29,8,24,50
30,18,41,60
31,7,16,40
32,9,45,50
33,24,7,40
34,21,40,50
35,22,48,60
36,18,23,50
37,30,18,50
38,20,41,50
39,9,31,40
40,25,19,40
41,32,21,40
42,8,59,60
43,24,20,40
44,10,32,40
45,8,41,50
46,13,16,40
47,19,6,60
48,9,22,60
49,19,16,50
50,14,46,50
51,9,19,40
52,18,18,60
53,14,28,50
54,33,20,40
55,13,22,40
56,7,17,50
57,25,23,50
58,28,19,50
59,35,17,50
60,33,24,50
61,9,31,40
62,24,19,60
63,24,9,60
64,20,7,60
65,31,24,60
66,17,29,50
67,20,22,50
68,19,38,40
69,25,20,50
70,5,33,40
71,35,14,60
72,25,22,60
73,27,7,60
74,24,32,40
75,34,6,60
76,21,27,60
77,26,5,50
78,31,22,40
79,10,13,40
80,12,37,40
81,24,7,60
82,29,15,60
83,28,6,50
84,5,36,50
85,15,18,50
86,21,25,40
87,18,7,50
88,13,22,40
89,14,19,40
90,18,7,40
91,19,18,40
92,15,6,60
93,15,26,60
94,32,6,40
95,22,8,50
96,9,41,50
97,13,39,50
98,11,11,40
99,24,33,40
100,25,21,40
101,17,22,60
102,6,35,50
103,27,18,50
104,25,5,40
105,30,12,50
106,18,22,40
107,31,8,60
108,22,35,40
109,19,23,40
110,19,20,50
111,26,11,60
112,16,32,40
113,12,32,40
114,27,19,50
115,5,29,40
116,14,56,60
117,10,6,40
118,18,24,50
119,31,17,50
120,30,11,50
121,21,33,60
122,15,22,40
123,7,34,60
124,22,8,40
125,33,22,40
126,23,11,50
127,26,15,60
128,15,55,60
129,34,19,50
130,17,15,50
131,11,44,50
132,15,16,60
133,14,25,60
134,29,20,40
135,5,36,40
136,23,22,40
137,20,40,60
138,7,56,60
139,12,22,60
140,19,36,40
141,21,17,40
