student_id,emails_opened,links_clicked,converted
1,3,3,False
2,14,3,True
3,5,5,True
4,15,1,True
5,4,4,True
6,12,3,False
7,3,0,False
8,0,0,False
9,13,13,True
10,13,3,False
11,7,1,False
12,2,2,False
13,12,7,True
14,12,11,True
15,13,13,False
16,8,4,False
17,2,0,False
18,2,0,False
19,8,2,True
20,5,2,True
21,14,3,True
22,3,0,False
23,4,2,False
24,5,1,True
25,5,5,True
26,5,3,False
27,11,2,True
28,11,2,True
29,4,1,True
30,3,2,True
31,2,2,False
32,7,2,True
33,14,12,True
34,14,2,True
35,14,1,True
36,8,6,True
37,6,5,False
38,12,11,True
39,14,4,False
40,1,1,False
41,7,4,True
42,13,12,True
43,15,3,True
44,9,6,True
45,4,4,True
46,15,15,True
47,12,12,True
48,7,0,False
49,2,0,False
50,0,0,False
51,15,7,False
52,3,1,False
53,6,3,False
54,2,2,False
55,1,0,False
56,5,2,True
57,2,2,True
58,4,1,False
59,8,4,False
60,8,5,True
61,9,4,False
62,5,3,True
63,15,5,True
64,14,13,True
65,14,14,True
66,14,4,True
67,12,8,True
68,8,2,False
69,12,1,True
70,13,9,False
71,5,1,False
72,2,2,True
73,6,0,False
74,15,0,True
75,5,4,False
76,5,0,False
77,12,3,True
78,3,2,False
79,2,0,False
80,12,2,True
81,10,1,False
82,6,2,True
83,9,4,True
84,5,4,True
85,8,0,False
86,3,1,False
87,4,0,True
88,7,2,True
89,2,2,True
90,3,1,False
91,12,10,True
92,14,8,True
93,6,0,False
94,8,0,False
95,6,3,True
96,6,3,True
97,8,8,True
98,3,3,False
99,3,2,False
100,2,2,True
101,8,6,True
102,10,1,False
103,8,0,True
104,12,8,True
105,11,10,True
106,6,5,True
107,3,0,False
108,11,2,True
109,15,5,True
110,10,7,True
111,10,0,True
112,5,2,False
113,3,1,False
114,5,3,True
115,8,4,True
116,11,5,True
117,7,0,False
118,10,8,True
119,8,6,True
120,14,2,True
121,12,7,True
122,6,4,True
123,14,5,False
124,13,3,True
125,12,6,True
126,15,9,True
127,1,1,False
128,4,1,False
129,3,3,True
130,0,0,False
131,2,1,False
132,11,4,True
133,5,4,True
134,11,6,True
135,10,8,True
136,9,1,False
137,8,2,False
138,7,5,True
139,1,0,False
140,7,5,False
141,2,2,False
142,9,8,True
143,6,3,False
144,1,1,False
145,12,0,True
146,8,3,True
147,3,3,True
148,6,0,False
149,13,13,True
150,1,1,False
151,6,5,True
152,8,7,True
153,12,1,False
154,13,5,True
155,15,11,False
156,10,3,False
157,15,2,True
158,13,8,True
159,12,5,True
160,14,4,True
161,15,6,True
162,2,1,False
163,10,4,True
164,9,7,False
165,14,0,True
166,10,5,True
167,6,2,False
168,11,6,True
169,7,2,False
170,11,4,True
171,2,2,False
172,13,5,True
173,14,0,False
174,11,6,True
175,12,12,True
176,2,2,True
177,11,2,True
178,4,0,True
179,10,4,True
180,3,3,False
181,8,6,True
182,12,10,True
183,6,6,True
184,15,10,True
185,6,4,True
186,7,3,False
187,8,3,True
188,11,4,True
189,5,4,False
190,5,5,True
191,12,6,True
192,6,2,True
193,14,14,True
194,2,0,False
195,0,0,False
196,2,0,True
197,6,1,False
198,12,6,True
199,14,8,True
200,12,12,True
201,2,1,False
202,4,3,False
203,13,5,True
204,9,2,True
205,2,0,False
206,3,2,False
207,11,3,True
208,5,3,True
209,14,13,True
210,12,1,True
211,9,2,True
212,6,1,False
213,3,0,False
214,15,1,True
215,14,12,False
216,9,4,True
217,7,4,False
218,12,4,True
219,15,10,True
220,6,0,False
221,6,1,True
222,10,10,True
223,15,12,True
224,15,9,True
225,0,0,False
226,7,7,True
227,9,1,True
228,13,11,True
229,5,1,False
230,14,10,False
231,6,5,True
232,12,0,True
233,9,9,False
234,13,3,False
235,11,5,True
236,0,0,False
237,2,2,False
238,2,1,False
239,11,2,True
240,10,9,True
241,0,0,False
242,12,5,True
243,15,1,True
244,9,4,True
245,3,2,True
246,2,0,False
247,6,4,True
248,15,0,True
249,2,0,False
250,13,0,False
251,4,0,True
252,3,0,True
253,13,8,True
254,15,11,True
255,1,0,False
256,13,5,True
257,11,10,False
258,13,11,True
259,4,1,True
260,1,1,False
261,9,1,True
262,0,0,False
263,12,7,True
264,4,4,True
265,13,12,True
266,1,1,False
267,12,4,True
268,15,4,True
269,10,8,False
270,6,4,True
271,10,1,True
272,11,10,True
273,9,7,True
274,1,1,False
275,0,0,False
276,14,6,True
277,7,2,True
278,6,4,True
279,9,3,True
280,4,3,False
281,5,1,True
282,13,13,True
283,9,8,True
284,7,2,False
285,7,0,True
286,13,4,True
287,11,0,True
288,1,1,False
289,2,2,False
290,5,0,True
291,15,3,True
292,3,0,False
293,8,3,True
294,11,0,False
295,1,0,False
296,1,1,False
297,1,1,False
298,12,8,True
299,12,5,True
300,9,2,True
301,5,3,True
302,11,7,True
303,13,13,True
304,9,4,False
305,5,3,True
306,0,0,False
307,6,1,False
308,4,3,False
309,9,9,True
310,5,1,True
311,12,0,False
312,11,2,True
313,3,2,False
314,14,1,True
315,5,5,True
316,7,5,True
317,15,14,True
318,3,1,False
319,9,9,True
320,12,11,False
321,12,2,True
322,2,1,False
323,11,3,True
324,14,3,True
325,15,14,True
326,6,0,False
327,13,5,False
328,11,8,True
329,13,5,True
330,12,9,True
331,2,1,False
332,15,7,True
333,7,7,True
334,10,8,False
335,8,4,True
336,4,4,True
337,6,3,True
338,13,1,True
339,14,5,True
340,12,1,True
341,11,5,True
342,3,0,False
343,9,9,True
344,3,3,False
345,12,1,True
346,0,0,False
347,2,2,False
348,4,4,True
349,0,0,False
350,5,3,True
351,3,2,False
352,5,5,False
353,5,0,False
354,11,10,False
355,2,0,False
356,15,13,True
357,10,4,True
358,4,3,False
359,4,0,False
360,9,7,True
361,0,0,False
362,7,2,True
363,3,0,False
364,15,7,True
365,14,5,True
366,4,0,False
367,7,0,False
368,6,6,True
369,1,1,False
370,8,3,False
371,2,1,True
372,2,2,True
373,8,6,True
374,2,0,False
375,12,12,False
376,14,13,True
377,2,2,False
378,6,2,True
379,10,4,False
380,11,9,True
381,3,1,False
382,4,2,True
383,14,0,False
384,15,6,True
385,3,1,False
386,0,0,False
387,8,0,False
388,13,4,True
389,15,3,True
390,12,11,True
391,8,3,True
392,3,1,True
393,10,3,True
394,9,8,True
395,14,13,True
396,0,0,False
397,14,12,True
398,8,5,True
399,8,5,True
400,1,0,False
401,14,11,True
402,12,10,True
403,3,0,False
404,13,13,True
405,10,2,True
406,6,6,True
407,9,4,False
408,11,1,False
409,1,1,False
410,9,2,True
411,0,0,False
412,6,0,False
413,8,4,True
414,15,3,True
415,8,2,True
416,11,4,True
417,7,7,False
418,10,3,True
419,14,2,False
420,13,8,True
421,6,1,True
422,10,3,True
423,5,1,False
424,14,4,True
425,0,0,False
426,8,7,False
427,7,7,False
428,10,8,False
429,15,10,True
430,5,0,False
431,5,5,False
432,1,1,True
433,4,1,False
434,8,2,False
435,1,0,False
436,15,6,True
437,11,3,True
438,1,0,False
439,10,10,True
440,7,3,True
441,13,9,True
442,6,3,False
443,12,11,True
444,9,9,True
445,15,10,False
446,3,1,False
447,9,4,True
448,10,3,True
449,12,7,True
450,15,10,True
451,4,4,True
452,12,1,True
453,13,6,True
454,9,2,False
455,1,0,False
456,8,1,True
457,5,2,False
458,14,7,True
459,11,10,False
460,3,0,False
461,8,0,False
462,13,5,True
463,15,12,True
464,5,3,True
465,8,0,False
466,7,5,True
467,7,4,False
468,13,2,True
469,6,1,True
470,10,6,True
471,3,2,False
472,4,1,False
473,6,6,True
474,9,7,True
475,10,9,True
476,13,11,True
477,13,1,True
478,6,1,False
479,9,4,True
480,12,7,True
481,12,9,True
482,6,4,True
483,11,10,True
484,3,2,False
485,7,7,False
486,10,10,True
487,5,4,True
488,7,1,False
489,2,2,False
490,13,7,True
491,8,7,True
492,13,13,True
493,14,3,True
494,14,1,True
495,3,3,False
496,8,1,False
497,4,3,False
498,15,2,True
499,14,10,True
500,3,2,True
501,14,4,False
502,0,0,False
503,8,1,False
504,9,9,True
505,10,10,True
506,3,3,True
507,12,1,True
508,4,3,True
509,9,5,True
510,5,1,False
511,10,8,True
512,6,5,True
513,3,0,False
514,11,7,True
515,7,1,False
516,3,0,True
517,5,2,True
518,3,1,False
519,11,4,True
520,14,14,True
521,7,1,False
522,1,0,True
523,13,6,True
524,1,1,False
525,4,4,True
526,14,9,True
527,6,2,True
528,1,1,False
529,5,1,False
530,8,8,True
531,15,12,False
532,2,2,False
533,13,4,False
534,9,1,False
535,2,0,False
536,12,0,True
537,6,6,True
538,12,2,True
539,7,5,True
540,8,3,True
541,3,1,False
542,15,1,True
543,15,3,False
544,13,2,True
545,8,7,True
546,9,8,True
547,1,0,False
548,8,6,True
549,12,9,True
550,7,5,True
551,1,0,False
552,13,8,True
553,13,7,False
554,14,8,True
555,7,2,True
556,14,12,True
557,6,4,True
558,7,6,False
559,6,1,True
560,0,0,False
561,12,1,True
562,14,14,True
563,9,2,False
564,6,6,True
565,6,3,False
566,0,0,False
567,14,1,True
568,13,5,True
569,0,0,False
570,12,12,True
571,4,0,False
572,13,5,True
573,12,5,True
574,7,6,True
575,6,3,True
576,3,1,False
577,4,1,False
578,6,6,True
579,9,2,True
580,7,7,True
581,5,0,False
582,14,9,False
583,6,3,False
584,2,0,False
585,10,7,True
586,6,5,True
587,15,11,True
588,2,0,False
589,4,4,True
590,0,0,False
591,6,3,True
592,9,5,False
593,8,0,False
594,10,0,False
595,15,9,True
596,2,0,False
597,4,4,True
598,13,9,True
599,9,9,True
600,4,3,False
601,2,0,False
602,0,0,False
603,6,1,False
604,7,6,True
605,6,5,True
606,9,0,True
607,13,1,True
608,11,6,True
609,10,8,True
610,3,0,True
611,9,2,False
612,5,1,False
613,2,2,False
614,10,10,True
615,6,5,True
616,1,0,False
617,1,0,False
618,15,5,True
619,4,3,True
620,14,8,True
621,1,0,False
622,9,4,True
623,6,2,False
624,8,4,True
625,7,7,True
626,8,4,True
627,15,10,True
628,15,15,True
629,6,4,True
630,6,0,True
631,2,1,False
632,2,2,False
633,0,0,False
634,7,7,True
635,5,1,False
636,2,0,False
637,4,2,True
638,1,1,False
639,12,3,True
640,12,12,True
641,9,4,False
642,14,12,True
643,13,13,True
644,13,1,True
645,13,10,True
646,5,4,False
647,4,0,False
648,15,11,True
649,2,0,False
650,9,1,True
651,0,0,False
652,4,2,False
653,5,1,True
654,11,1,True
655,13,8,True
656,10,1,True
657,4,4,True
658,1,1,False
659,13,0,False
660,8,6,True
661,11,0,True
662,10,10,False
663,15,0,False
664,4,0,False
665,15,6,True
666,14,8,True
667,14,5,False
668,12,3,True
669,8,4,True
670,7,3,True
671,1,0,False
672,2,0,False
673,15,0,True
674,7,3,True
675,4,1,False
676,0,0,False
677,14,4,True
678,11,7,False
679,6,1,False
680,12,0,True
681,12,1,True
682,10,4,True
683,9,9,False
684,4,2,False
685,10,7,True
686,13,10,True
687,7,3,False
688,1,1,False
689,6,0,False
690,10,8,True
691,3,2,False
692,11,3,True
693,13,2,True
694,11,8,True
695,8,1,False
696,8,3,True
697,6,1,True
698,5,4,False
699,12,11,False
700,11,5,True
701,10,10,True
702,5,1,True
703,0,0,False
704,9,7,False
705,4,3,False
706,2,0,False
707,8,6,True
708,6,5,True
709,3,2,False
710,5,0,True
711,8,0,False
712,7,4,True
713,14,13,True
714,2,2,False
715,1,0,False
716,7,1,False
717,14,12,True
718,13,3,True
719,11,5,True
720,7,7,False
721,10,3,True
722,10,2,False
723,12,1,False
724,5,2,False
725,1,0,False
726,6,3,False
727,10,8,True
728,7,5,True
729,1,0,False
730,15,8,True
731,15,11,False
732,15,8,False
733,7,5,True
734,1,0,False
735,9,2,True
736,9,9,True
737,9,1,True
738,7,4,False
739,15,14,True
740,5,3,False
741,13,9,True
742,6,4,True
743,4,0,False
744,2,1,False
745,14,0,False
746,11,11,True
747,7,0,True
748,8,4,True
749,11,9,True
750,4,3,False
751,9,4,True
752,15,6,True
753,8,0,True
754,0,0,False
755,0,0,False
756,3,0,False
757,2,0,False
758,9,0,False
759,11,9,True
760,13,2,True
761,13,3,True
762,9,4,True
763,1,1,False
764,8,7,False
765,11,0,False
766,4,1,False
767,3,3,True
768,14,10,True
769,10,10,True
770,0,0,False
771,4,3,True
772,12,3,True
773,9,2,True
774,13,13,True
775,13,3,True
776,14,2,True
777,5,1,False
778,4,1,False
779,9,9,True
780,4,3,False
781,9,0,True
782,11,5,True
783,5,2,True
784,1,0,False
785,7,1,True
786,3,2,False
787,0,0,False
788,2,1,False
789,5,3,True
790,8,0,False
791,8,4,True
792,2,2,False
793,2,2,True
794,4,2,False
795,13,2,False
796,9,6,True
797,6,2,True
798,6,6,True
799,15,1,True
800,10,5,True
801,12,3,True
802,3,2,True
803,11,7,False
804,3,0,False
805,8,2,True
806,6,4,False
807,13,5,True
808,11,11,True
809,8,1,False
810,5,3,True
811,14,4,True
812,11,9,True
813,4,2,True
814,13,13,True
815,7,7,True
816,7,6,True
817,6,2,False
818,7,7,True
819,3,2,False
820,1,1,True
821,1,1,False
822,0,0,False
823,12,3,True
824,2,0,False
825,11,11,True
826,15,9,True
827,9,9,True
828,12,7,True
829,4,0,False
830,7,4,True
831,14,12,True
832,0,0,False
833,6,2,False
834,12,4,True
835,6,2,True
836,10,6,True
837,3,2,True
838,13,2,True
839,14,13,True
840,5,3,False
841,1,0,False
842,2,2,True
843,12,7,True
844,4,0,False
845,14,10,True
846,14,5,True
847,2,1,False
848,15,5,True
849,8,5,True
850,7,7,True
851,12,9,True
852,14,9,True
853,13,2,True
854,4,2,True
