student_id,batch_name,price,payment_type
1,SSC CGL,4999,Full Payment
3,SSC CGL,11999,Full Payment
4,Banking,7999,Full Payment
5,SSC CGL,9999,EMI
8,Banking,11999,Full Payment
9,NABARD,11999,Full Payment
12,Banking,11999,EMI
14,NABARD,11999,Full Payment
15,NABARD,7999,EMI
16,SEBI,4999,Full Payment
17,SSC CGL,7999,EMI
18,Banking,9999,EMI
19,NABARD,9999,EMI
20,RBI Grade B,11999,EMI
21,SEBI,11999,Full Payment
22,NABARD,9999,Full Payment
23,SSC CGL,9999,Full Payment
25,NABARD,7999,EMI
26,Banking,7999,EMI
35,NABARD,11999,Full Payment
37,SSC CGL,4999,EMI
38,NABARD,7999,EMI
40,SEBI,4999,EMI
41,RBI Grade B,11999,EMI
43,SEBI,9999,Full Payment
45,Banking,7999,EMI
47,SEBI,9999,EMI
48,SEBI,11999,EMI
49,Banking,9999,Full Payment
51,SEBI,11999,EMI
52,SSC CGL,7999,EMI
54,RBI Grade B,9999,EMI
55,Banking,4999,Full Payment
56,SEBI,7999,EMI
57,RBI Grade B,9999,EMI
58,NABARD,4999,Full Payment
59,NABARD,9999,EMI
60,RBI Grade B,7999,Full Payment
61,RBI Grade B,11999,EMI
62,SSC CGL,9999,EMI
65,SSC CGL,11999,Full Payment
67,Banking,7999,Full Payment
69,RBI Grade B,11999,EMI
70,SSC CGL,4999,Full Payment
71,SEBI,7999,Full Payment
72,NABARD,9999,EMI
73,NABARD,7999,Full Payment
75,NABARD,9999,EMI
76,SSC CGL,7999,EMI
77,SSC CGL,11999,EMI
78,Banking,9999,Full Payment
79,SEBI,11999,EMI
81,Banking,4999,EMI
82,SSC CGL,4999,Full Payment
83,SEBI,11999,EMI
90,SEBI,7999,Full Payment
91,NABARD,9999,Full Payment
94,SSC CGL,11999,Full Payment
96,NABARD,4999,Full Payment
97,SEBI,7999,EMI
99,SSC CGL,11999,Full Payment
101,RBI Grade B,7999,Full Payment
103,Banking,4999,Full Payment
104,SSC CGL,7999,Full Payment
105,NABARD,7999,Full Payment
106,SEBI,7999,EMI
107,RBI Grade B,7999,Full Payment
108,SSC CGL,11999,EMI
109,RBI Grade B,9999,EMI
111,Banking,11999,Full Payment
114,SEBI,7999,Full Payment
121,Banking,4999,EMI
124,Banking,9999,Full Payment
125,NABARD,11999,EMI
126,Banking,11999,Full Payment
127,NABARD,11999,Full Payment
129,NABARD,7999,EMI
130,SSC CGL,11999,EMI
134,RBI Grade B,9999,EMI
136,RBI Grade B,11999,Full Payment
137,Banking,11999,Full Payment
139,Banking,4999,Full Payment
140,SEBI,11999,Full Payment
144,RBI Grade B,9999,Full Payment
146,Banking,11999,Full Payment
147,SSC CGL,4999,Full Payment
148,SSC CGL,11999,EMI
151,NABARD,4999,Full Payment
152,Banking,7999,Full Payment
156,NABARD,7999,EMI
157,NABARD,4999,EMI
159,Banking,4999,EMI
160,Banking,11999,Full Payment
162,RBI Grade B,11999,EMI
164,SEBI,4999,EMI
165,RBI Grade B,4999,EMI
167,SEBI,7999,EMI
171,SSC CGL,7999,EMI
174,RBI Grade B,4999,Full Payment
176,RBI Grade B,4999,EMI
177,RBI Grade B,11999,EMI
