student_id,signup_date,source,state,working_professional
1,2025-11-24,Ads,UP,True
2,2025-02-27,Referral,Delhi,True
3,2025-01-13,Email,Rajasthan,True
4,2025-05-21,Referral,Delhi,True
5,2025-05-06,Referral,Bihar,False
6,2025-04-25,Telegram,Delhi,True
7,2025-03-13,Email,MP,False
8,2025-02-22,Email,MP,False
9,2025-12-13,Email,Delhi,False
10,2025-10-07,Referral,Maharashtra,False
11,2025-02-14,Ads,Bihar,True
12,2025-10-30,Email,UP,True
13,2025-08-05,Organic,Delhi,False
14,2025-01-17,Referral,UP,False
15,2025-01-16,Telegram,Bihar,False
16,2025-02-17,Ads,Delhi,False
17,2025-04-22,Organic,Maharashtra,False
18,2025-04-30,Organic,Rajasthan,False
19,2025-09-16,Telegram,Maharashtra,False
20,2025-11-05,Ads,Maharashtra,True
21,2025-01-14,Referral,Rajasthan,True
22,2025-10-15,Youtube,Rajasthan,False
23,2025-04-12,Ads,MP,False
24,2025-11-29,Telegram,Rajasthan,False
25,2025-12-26,Organic,Delhi,True
26,2025-10-07,Referral,UP,False
27,2025-08-03,Ads,MP,True
28,2025-04-23,Youtube,MP,False
29,2025-08-18,Youtube,UP,True
30,2025-10-29,Email,MP,True
31,2025-05-23,Email,Rajasthan,True
32,2025-01-04,Telegram,Maharashtra,True
33,2025-03-23,Ads,Bihar,False
34,2025-12-24,Ads,Rajasthan,True
35,2025-08-05,Organic,Maharashtra,True
36,2025-06-24,Organic,Maharashtra,False
37,2025-05-23,Organic,MP,False
38,2025-03-21,Email,Delhi,True
39,2025-04-21,Ads,Delhi,True
40,2025-06-22,Ads,MP,False
41,2025-02-22,Youtube,MP,False
42,2025-02-17,Email,UP,True
43,2025-07-14,Referral,UP,False
44,2025-02-19,Email,Bihar,True
45,2025-07-03,Referral,Bihar,True
46,2025-06-26,Youtube,Bihar,False
47,2025-11-06,Telegram,Bihar,False
48,2025-05-16,Ads,Maharashtra,True
49,2025-01-23,Youtube,Maharashtra,False
50,2025-08-24,Ads,UP,True
51,2025-10-02,Organic,Delhi,True
52,2025-03-05,Telegram,MP,True
53,2025-07-13,Telegram,Delhi,True
54,2025-02-10,Youtube,Rajasthan,False
55,2025-10-10,Telegram,Maharashtra,False
56,2025-05-31,Referral,Bihar,True
57,2025-11-18,Telegram,Bihar,False
58,2025-11-13,Ads,Rajasthan,False
59,2025-07-05,Ads,Delhi,False
60,2025-10-23,Ads,Bihar,False
61,2025-04-09,Ads,Delhi,True
62,2025-12-27,Referral,MP,False
63,2025-02-05,Email,Rajasthan,False
64,2025-01-24,Organic,Delhi,False
